"","status","copyright","response.docs.abstract","response.docs.web_url","response.docs.snippet","response.docs.lead_paragraph","response.docs.print_section","response.docs.print_page","response.docs.source","response.docs.pub_date","response.docs.document_type","response.docs.news_desk","response.docs.section_name","response.docs.type_of_material","response.docs._id","response.docs.word_count","response.docs.uri","response.docs.subsection_name","response.docs.headline.main","response.docs.headline.kicker","response.docs.headline.content_kicker","response.docs.headline.print_headline","response.docs.headline.name","response.docs.headline.seo","response.docs.headline.sub","response.docs.byline.original","response.docs.byline.organization","response.meta.hits","response.meta.offset","response.meta.time","response.docs.slideshow_credits"
"13","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","True reinvestment in our future must also include care.","https://www.nytimes.com/2022/08/17/opinion/home-family-child-care.html","True reinvestment in our future must also include care.","On Tuesday President Biden signed the Inflation Reduction Act, which contains parts of his Build Back Better agenda, including major climate investments and authorization for Medicare to negotiate lower prescription drug prices. The law will reduce the cost of health care, slash carbon emissions to roughly 50 percent below 2005 levels by 2030, invest in clean energy vehicles and raise taxes on corporations, among other things.","SR","9","The New York Times","2022-08-17T17:55:09+0000","article","OpEd","Opinion","Op-Ed","nyt://article/1cbbdb51-6c55-59f4-8b19-f24de2680168",651,"nyt://article/1cbbdb51-6c55-59f4-8b19-f24de2680168",NA,"How Long Will the U.S. Continue to Disrespect Its Caregivers?","Guest Essay",NA,"Don’t Leave Caregivers Behind",NA,NA,NA,"By Ai-jen Poo",NA,2273,10,31,NA
"14","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","This special explores the financial and emotional costs of taking care of elderly parents.","https://www.nytimes.com/2015/05/07/arts/television/review-caring-for-mom-dad-on-pbs-looks-at-elder-care-struggles.html","This special explores the financial and emotional costs of taking care of elderly parents.","The discussion of aging often doesn’t get much further than: “Your parent has Alzheimer’s, and you’re caring for her? That must be hard.” A PBS special on Thursday night (check local listings) at least tries to go deeper. Though it still spends considerable time on elder-care anecdotes — stories that are heart-rending but at this point familiar — it also acknowledges difficult questions of costs, rights and medical capabilities.","C","3","The New York Times","2015-05-06T20:52:20+0000","article","Culture","Arts","Review","nyt://article/c4e55d51-0316-56f5-a4b1-943df234f7b1",377,"nyt://article/c4e55d51-0316-56f5-a4b1-943df234f7b1","Television","Review: ‘Caring for Mom & Dad’ on PBS Looks at Elder Care Struggles",NA,NA,"A Focus on Elder Care",NA,NA,NA,"By Neil Genzlinger",NA,2273,10,31,NA
"15","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The council, led by the advocacy organization Time’s Up, includes heavyweight names like JPMorgan Chase, Spotify and McDonald’s.","https://www.nytimes.com/2021/05/19/business/care-council.html","The council, led by the advocacy organization Time’s Up, includes heavyweight names like JPMorgan Chase, Spotify and McDonald’s.","JPMorgan Chase, Spotify, Uber, McDonald’s and almost 200 other businesses have formed a coalition focused on ensuring that women are not held back in the labor force because they bear the brunt of caregiving in the United States.",NA,NA,"The New York Times","2021-05-19T11:34:05+0000","article","Business","Business Day","News","nyt://article/0b511df6-3bea-59e0-8c5b-ac9874981e38",380,"nyt://article/0b511df6-3bea-59e0-8c5b-ac9874981e38",NA,"A new coalition of 200 businesses will push fixes to the problems of child and elder care.",NA,NA,NA,NA,NA,NA,"By Alisha Haridasani Gupta",NA,2273,10,31,NA
"16","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Zvi Feiner and a business partner were indicted on fraud charges. Federal prosecutors say they bilked investors out of millions of dollars.","https://www.nytimes.com/2020/09/15/business/rosewood-nursing-home-ponzi-scheme.html","Zvi Feiner and a business partner were indicted on fraud charges. Federal prosecutors say they bilked investors out of millions of dollars.","A Chicago-area rabbi, who formerly owned a nursing home chain at the heart of the biggest default in the history of a federal mortgage-guarantee program, has been indicted by federal authorities on charges he bilked millions of dollars from investors.",NA,NA,"The New York Times","2020-09-15T17:26:24+0000","article","Business","Business Day","News","nyt://article/d3718987-9db4-5f21-a2b3-9603e20ae2df",415,"nyt://article/d3718987-9db4-5f21-a2b3-9603e20ae2df",NA,"Ex-Owner in $146 Million Elder Care Default Is Charged in Ponzi Case",NA,NA,NA,NA,NA,NA,"By Matthew Goldstein",NA,2273,10,31,NA
"17","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The focus on child care may conceal a bigger barrier to female participation in the labor force: tending to the growing ranks of aging family members.","https://www.nytimes.com/2017/12/19/business/economy/women-work-elder-care.html","The focus on child care may conceal a bigger barrier to female participation in the labor force: tending to the growing ranks of aging family members.","Why did women’s rush into the work force stop? Policymakers have been vexed by the question for years. Social scientists have discussed the sudden stop for over a decade, in conferences and academic papers. Almost 12 years ago, I gave the topic a shot in the pages of The Times: why, after a five-decade rise, did the labor-force participation of women in the prime working years stall around the turn of the century?","B","1","The New York Times","2017-12-19T12:00:26+0000","article","Business","Business Day","News","nyt://article/dc7e2dda-450e-54cf-b564-f086323ef8ab",1221,"nyt://article/dc7e2dda-450e-54cf-b564-f086323ef8ab","Economy","How Care for Elders, Not Children, Denies Women a Paycheck","Economic Scene",NA,"The Weight Of Elder Care On Women",NA,NA,NA,"By Eduardo Porter",NA,2273,10,31,NA
"18","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Older adults are particularly vulnerable to the dangers of extreme heat. A majority of heat-related deaths in the United States occur among people who are older than 65, according to the Centers for Disease Control and Prevention, so those individuals need to be especially vigilant amid rising temperatures.","https://www.nytimes.com/2022/07/20/well/elderly-heat-safety.html","","Older adults are particularly vulnerable to the dangers of extreme heat. A majority of heat-related deaths in the United States occur among people who are older than 65, according to the Centers for Disease Control and Prevention, so those individuals need to be especially vigilant amid rising temperatures.",NA,NA,"The New York Times","2022-07-23T13:12:40+0000","article","Well","Well","News","nyt://article/a5b7b809-9150-57e4-932a-79cae73c4024",662,"nyt://article/a5b7b809-9150-57e4-932a-79cae73c4024",NA,"How can older adults stay safe during a heat wave?",NA,NA,NA,NA,NA,NA,"By Ilaria Parogni",NA,2273,10,31,NA
"19","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Both snarled traffic and a morning without a home health aide can make you late for work.","https://www.nytimes.com/2021/04/26/opinion/biden-infrastructure-child-care.html","Both snarled traffic and a morning without a home health aide can make you late for work.","Ask any of the parents who have spent the last year at home with their children, while trying to participate in Zoom meetings, whether child care enables them to show up to work and perform at their best. The direct conflict between children’s need to be cared for during the day and working parents’ need to devote their attention to their jobs exploded into full view during the pandemic, not just for families but for their employers and co-workers. Suddenly it was everyone’s problem.","A","23","The New York Times","2021-04-26T09:00:10+0000","article","OpEd","Opinion","Op-Ed","nyt://article/fe4b1778-2c87-5914-ab74-cdc201373658",1582,"nyt://article/fe4b1778-2c87-5914-ab74-cdc201373658",NA,"The Debate Over What ‘Infrastructure’ Is Is Ridiculous","Guest Essay",NA,"Child and Elder Care Are Also Infrastructure",NA,NA,NA,"By Bryce Covert",NA,2273,10,31,NA
"20","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Readers told our columnist what they had read and found useful, and he reports back on family conversations, division of labor, Medicaid and more.","https://www.nytimes.com/2017/08/18/your-money/aging-elder-care-books.html","Readers told our columnist what they had read and found useful, and he reports back on family conversations, division of labor, Medicaid and more.","Longevity is generally better than its alternative. But when the body or especially the mind wears out, caring for yourself or finding someone else to do it for you can impoverish you in short order.","B","1","The New York Times","2017-08-18T16:58:14+0000","article","Business","Your Money","News","nyt://article/85e00ccd-35c6-515d-b818-459f59b0512b",1262,"nyt://article/85e00ccd-35c6-515d-b818-459f59b0512b",NA,"Hard-Won Advice in Books on Aging and Elder Care","Your Money",NA,"Facing Dread  Of ‘Inching  Toward  Oblivion’",NA,NA,NA,"By Ron Lieber",NA,2273,10,31,NA
"21","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Shifting demographics are reshaping complexes built for older Americans, who are looking for a variety of rates and services.","https://www.nytimes.com/2022/07/19/business/senior-housing.html","Shifting demographics are reshaping complexes built for older Americans, who are looking for a variety of rates and services.","The pandemic crushed the senior housing market, cutting occupancy rates and stalling construction. Now, as the market begins an uneven rebound, developers are adapting to the coming wave of aging baby boomers with a new crop of living developments.","B","6","The New York Times","2022-07-19T13:00:14+0000","article","Business","Business Day","News","nyt://article/57df6d52-3d45-5f7a-9269-8b186ce63dbe",1206,"nyt://article/57df6d52-3d45-5f7a-9269-8b186ce63dbe",NA,"What Baby Boomers Want (Options!), Senior Housing Delivers","Square Feet",NA,"Expanding Options for Senior Housing",NA,NA,NA,"By Linda Baker",NA,2273,20,73,NA
"22","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Some with private equity owners, focused on making money, were particularly ill equipped and understaffed to handle Covid-19.","https://www.nytimes.com/2020/05/07/business/coronavirus-nursing-homes.html","Some with private equity owners, focused on making money, were particularly ill equipped and understaffed to handle Covid-19.","When the pandemic struck, the majority of the nation’s nursing homes were losing money, some were falling into disrepair, and others were struggling to attract new occupants, leaving many of them ill equipped to protect workers and residents as the coronavirus raged through their properties.","B","1","The New York Times","2020-05-07T17:06:11+0000","article","Business","Business Day","News","nyt://article/d113172f-5443-595f-ad5f-85fb0216df01",1515,"nyt://article/d113172f-5443-595f-ad5f-85fb0216df01",NA,"Push for Profits Left Nursing Homes Struggling to Provide Care",NA,NA,"Profit Push Takes a Toll In Elder Care",NA,NA,NA,"By Matthew Goldstein, Jessica Silver-Greenberg and Robert Gebeloff",NA,2273,20,73,NA
"23","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Readers discuss how to ensure safe medical care. Also: Older adults, youthful music; an L.G.B.T.Q. model for elder care.","https://www.nytimes.com/2022/12/08/opinion/letters/older-doctors.html","Readers discuss how to ensure safe medical care. Also: Older adults, youthful music; an L.G.B.T.Q. model for elder care.","To the Editor:","A","23","The New York Times","2022-12-08T18:00:08+0000","article","Letters","Opinion","Letter","nyt://article/4bbbdd93-5162-5e97-81ff-a19534666fd9",1258,"nyt://article/4bbbdd93-5162-5e97-81ff-a19534666fd9","Letters","Assessing the Competence of Older Doctors","letters",NA,"Assessing the Competence of Older Doctors",NA,NA,NA,NA,NA,2273,20,73,NA
"24","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The proposal to spend $400 billion over eight years faces political challenges and a funding system not designed for the burden it has come to bear.","https://www.nytimes.com/2021/04/15/business/economy/home-care-biden.html","The proposal to spend $400 billion over eight years faces political challenges and a funding system not designed for the burden it has come to bear.","President Biden’s $400 billion proposal to improve long-term care for older adults and those with disabilities was received as either a long overdue expansion of the social safety net or an example of misguided government overreach.","B","1","The New York Times","2021-04-15T15:24:59+0000","article","Business","Business Day","News","nyt://article/cdf8082a-3986-5cbd-a62c-a351031611a1",1407,"nyt://article/cdf8082a-3986-5cbd-a62c-a351031611a1","Economy","Biden Takes On Sagging Safety Net With Plan to Fix Long-Term Care",NA,NA,"Tug of War To Shore Up Elder Care",NA,NA,NA,"By Eduardo Porter",NA,2273,20,73,NA
"25","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Ms. Holt led the federal government’s effort to establish and standardize modern long-term care facilities for the elderly in the pre-Medicare era.","https://www.nytimes.com/2015/07/19/nyregion/helen-f-holt-101-elevated-elder-care-across-the-us.html","Ms. Holt led the federal government’s effort to establish and standardize modern long-term care facilities for the elderly in the pre-Medicare era.","Helen F. Holt, who led the federal government’s effort to establish and standardize modern long-term care facilities for the elderly in the pre-Medicare era, died on July 12 at her home in Boca Raton, Fla. She was 101.","A","20","The New York Times","2015-07-18T02:44:23+0000","article","Metro","New York","Obituary (Obit)","nyt://article/c5c62d33-2789-5e16-bfb5-0bee42d3c9ac",529,"nyt://article/c5c62d33-2789-5e16-bfb5-0bee42d3c9ac",NA,"Helen F. Holt, Who Elevated Elder Care Across the U.S., Dies at 101",NA,NA,"Helen F. Holt, 101, a Leader in Elevating End-of-Life Care",NA,NA,NA,"By Kate Zernike",NA,2273,20,73,NA
"26","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","A lack of child care and elder care options has forced some women to limit their hours or sidelined them altogether, hurting their career prospects.","https://www.nytimes.com/2022/07/07/business/economy/women-labor-caregiving.html","A lack of child care and elder care options has forced some women to limit their hours or sidelined them altogether, hurting their career prospects.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.","A","1","The New York Times","2022-07-07T15:40:54+0000","article","Business","Business Day","News","nyt://article/dfc94176-4374-5dca-9103-8bb8f2d236db",1834,"nyt://article/dfc94176-4374-5dca-9103-8bb8f2d236db","Economy","Jobs Aplenty, but a Shortage of Care Keeps Many Women From Benefiting",NA,NA,"With Employers Eager to Hire, Many Women Are Missing Out",NA,NA,NA,"By Lydia DePillis, Jeanna Smialek and Ben Casselman",NA,2273,20,73,NA
"27","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The magazine’s Ethicist columnist on whether we have the right to tell the story of someone else’s tragedy.","https://www.nytimes.com/2022/05/24/magazine/true-crime-ethics.html","The magazine’s Ethicist columnist on whether we have the right to tell the story of someone else’s tragedy.","Recently, I rented a private office in a co-working space so I could work on personal writing projects. About two weeks into my tenure, I heard screams. When I went to investigate, I saw a man beating someone savagely with a metal pipe. I ran to my office, called 911 and then returned, only to see the man walking in my direction. I ran back to my office and hid until the police arrived. The victim — she was the office manager — was rushed to the hospital, where she was declared dead. The story that emerged is that the man, a fellow client who had been living in his office, was being evicted by the office manager.","MM","16","The New York Times","2022-05-24T09:00:08+0000","article","Magazine","Magazine","News","nyt://article/0f3f9a62-fc9d-5e02-911b-1b8ca33843b3",1467,"nyt://article/0f3f9a62-fc9d-5e02-911b-1b8ca33843b3",NA,"I Witnessed a Murder. Is It Wrong to Write About It?","The Ethicist",NA,"I Witnessed a Murder. Is It Wrong to Write About Someone Else’s Tragedy?",NA,NA,NA,"By Kwame Anthony Appiah",NA,2273,20,73,NA
"28","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","A reader writes that the problem is worsening, and no one is paying attention.","https://www.nytimes.com/2018/02/08/opinion/elder-care.html","A reader writes that the problem is worsening, and no one is paying attention.","To the Editor:","A","26","The New York Times","2018-02-08T18:59:25+0000","article","Letters","Opinion","Letter","nyt://article/7d0f6852-8842-583a-af0c-8e6c8da0ac20",169,"nyt://article/7d0f6852-8842-583a-af0c-8e6c8da0ac20",NA,"The Problem of Elder Care","Letter",NA,"The Problem of Elder Care",NA,NA,NA,NA,NA,2273,20,73,NA
"29","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Choosing living arrangements for an older person can take a lawyer, financial planner and physician — and perhaps a specialist to guide the process.","https://www.nytimes.com/2015/07/11/your-money/making-decisions-on-elder-housing-may-take-a-team-effort.html","Choosing living arrangements for an older person can take a lawyer, financial planner and physician — and perhaps a specialist to guide the process.","AFTER her husband’s death in 2007, Mary Jane Renninger, a retired nurse, began having occasional dizzy spells and even passed out on one occasion as she was painting her patio. She was not found until 12 hours later.","B","4","The New York Times","2015-07-10T15:13:20+0000","article","Business","Your Money","News","nyt://article/8261fdd7-acfc-5f2c-89e7-5717084a8c88",1186,"nyt://article/8261fdd7-acfc-5f2c-89e7-5717084a8c88",NA,"Making Decisions on Elder Housing May Take a Team Effort","Retiring",NA,"Team Efforts in Making Decisions on Elder Housing",NA,NA,NA,"By John F. Wasik",NA,2273,20,73,NA
"30","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","This week, Hawaii launched the Kupuna Caregivers Program to help support working family caregivers.","https://www.nytimes.com/video/well/100000005511929/hawaii-launches-long-term-care-program.html","This week, Hawaii launched the Kupuna Caregivers Program to help support working family caregivers.","This week, Hawaii launched the Kupuna Caregivers Program to help support working family caregivers.",NA,NA,"The New York Times","2017-12-15T10:00:03+0000","multimedia","","Well","Video","nyt://video/c266902b-ba7c-50fe-92f2-da2d4936eb4e",0,"nyt://video/c266902b-ba7c-50fe-92f2-da2d4936eb4e",NA,"Hawaii Launches Long-Term Care Program",NA,NA,NA,NA,NA,NA,"By Nick Capezzera, Maureen Towey, Tim Chaffee and Samantha Quick",NA,2273,20,73,NA
