"","status","copyright","response.docs.abstract","response.docs.web_url","response.docs.snippet","response.docs.lead_paragraph","response.docs.source","response.docs.pub_date","response.docs.document_type","response.docs.news_desk","response.docs.section_name","response.docs.subsection_name","response.docs.type_of_material","response.docs._id","response.docs.word_count","response.docs.uri","response.docs.print_section","response.docs.print_page","response.docs.headline.main","response.docs.headline.kicker","response.docs.headline.content_kicker","response.docs.headline.print_headline","response.docs.headline.name","response.docs.headline.seo","response.docs.headline.sub","response.docs.byline.original","response.docs.byline.organization","response.meta.hits","response.meta.offset","response.meta.time"
"11","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The needs of older relatives remove women from the labor force in the United States far more than in other wealthy nations, at a cost to the economy.","https://www.nytimes.com/2019/08/29/business/economy/labor-family-care.html","The needs of older relatives remove women from the labor force in the United States far more than in other wealthy nations, at a cost to the economy.","DUNWOODY, Ga. — Aisha Adkins would rather have her own place, instead of living with her parents. She would also like a job, a car, a master’s degree and savings. But at 35, a decade after graduating from Georgia Southern University in Statesboro with a specialty in social services, she has had to put off those goals.","The New York Times","2019-08-29T09:00:09+0000","article","Business","Business Day","Economy","News","nyt://article/bec97254-2a0d-5b99-813d-10e515cbc6a5",1653,"nyt://article/bec97254-2a0d-5b99-813d-10e515cbc6a5","B","1","Why Aren’t More Women Working? They’re Caring for Parents",NA,NA,"In Primes of Careers, Women Bear Burden of Caregiving",NA,NA,NA,"By Eduardo Porter",NA,266,10,30
"12","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The pandemic is a new setback for women in academia who already faced obstacles on the path to advancing their research and careers.","https://www.nytimes.com/2020/10/06/science/covid-universities-women.html","The pandemic is a new setback for women in academia who already faced obstacles on the path to advancing their research and careers.","Whatever big plans Lisa Warner had for the year, the pandemic scrambled them. It forced online the biochemistry classes she taught as an assistant professor at Boise State University in Idaho, and it temporarily shut down her laboratory. Her 4-year-old son’s day care closed, and Dr. Warner felt her productivity wane. She feared for her chances of receiving tenure, the long-term job security that most early-career academics ardently pursue, by the 2024 deadline in her contract.","The New York Times","2020-10-06T06:59:10+0000","article","Science","Science",NA,"News","nyt://article/3050739c-b871-525b-88c7-0217d7d336b7",1740,"nyt://article/3050739c-b871-525b-88c7-0217d7d336b7","D","1","The Virus Moved Female Faculty to the Brink. Will Universities Help?",NA,NA,"Women in Academia  Face a New Burden",NA,NA,NA,"By Jillian Kramer",NA,266,10,30
"13","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","A lesson from hospice care might help.","https://www.nytimes.com/2020/05/19/opinion/coronavirus-hospital-workers.html","A lesson from hospice care might help.","Nurses crying. That’s what I hear from the front lines treating Covid-19 patients. A nurse will begin the shift crying and end it crying. Crying. And we are not a profession that cries easily.","The New York Times","2020-05-19T19:00:07+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/447dfce0-bf79-51fc-b981-02a9cbfd588a",1085,"nyt://article/447dfce0-bf79-51fc-b981-02a9cbfd588a","A","27","I Accept Death. I Hope Doctors and Nurses Will, Too.",NA,NA,"The Burden on Doctors and Nurses",NA,NA,NA,"By Theresa Brown",NA,266,10,30
"14","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Seven ways to deal with the challenges of jumping back on the family merry-go-round.","https://www.nytimes.com/2019/04/22/well/family/parents-travel-work.html","Seven ways to deal with the challenges of jumping back on the family merry-go-round.","When a parent travels for work, often the most challenging part of the trip is coming back. If you take business trips, here are seven suggestions on how to rejoin your family with a little less friction.","The New York Times","2019-04-22T09:00:07+0000","article","Well","Well","Family","News","nyt://article/a9877d2a-76dc-5faf-a368-c5e7bd6a96d8",1116,"nyt://article/a9877d2a-76dc-5faf-a368-c5e7bd6a96d8",NA,NA,"How Parents Who Travel for Work Can Ease the Burden on Their Families",NA,NA,NA,NA,NA,NA,"By Claire Zulkey",NA,266,10,30
"15","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","In the United States, 1.3 million mothers are out of work because of the pandemic. Their losses are more than economic. Across backgrounds and careers, they describe a loss of identity.","https://www.nytimes.com/interactive/2021/05/17/upshot/women-workforce-employment-covid.html","In the United States, 1.3 million mothers are out of work because of the pandemic. Their losses are more than economic. Across backgrounds and careers, they describe a loss of identity.","In the United States, 1.3 million mothers are out of work because of the pandemic. Their losses are more than economic. Across backgrounds and careers, they describe a loss of identity.","The New York Times","2021-05-18T00:44:20+0000","multimedia","The Upshot","The Upshot",NA,"Interactive Feature","nyt://interactive/fd4f9fda-3d88-5d89-b133-038c5a002153",0,"nyt://interactive/fd4f9fda-3d88-5d89-b133-038c5a002153",NA,NA,"The Pandemic Created a Child-Care Crisis. Mothers Bore the Burden.",NA,NA,NA,NA,NA,NA,"By Claire Cain Miller",NA,266,10,30
"16","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","A number of women working in retail say they are being forced to choose between keeping their jobs and making sure their children can keep up with remote learning.","https://www.nytimes.com/2020/09/21/business/coronavirus-retail-workers-mothers.html","A number of women working in retail say they are being forced to choose between keeping their jobs and making sure their children can keep up with remote learning.","The start of the virtual school year has been a struggle for Patricia Reveles, a pharmacy technician at a CVS in Los Angeles, whose daughter is in fourth grade.","The New York Times","2020-09-21T15:26:30+0000","article","Business","Business Day",NA,"News","nyt://article/6df180d7-57a3-5cad-9cb7-bc654d0d8087",1335,"nyt://article/6df180d7-57a3-5cad-9cb7-bc654d0d8087","B","1","As School Begins, Mothers Working Retail Jobs Feel Extra Burden",NA,NA,"‘I am asking you  to make it easier for me  to take care of my kid.’",NA,NA,NA,"By Sapna Maheshwari and Michael Corkery",NA,266,10,30
"17","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","When a loved one in another state is ill, virtually attending appointments is only part of the solution.","https://www.nytimes.com/2018/09/04/well/live/strategies-for-long-distance-caregiving.html","When a loved one in another state is ill, virtually attending appointments is only part of the solution.","A few months ago, my biggest sources of anxiety were politics, my finances, and whether I’d make my next work deadline. Then one afternoon my mother called to tell me she had leukemia.","The New York Times","2018-09-04T09:00:06+0000","article","Well","Well","Live","News","nyt://article/990292da-1165-5edd-bf43-bbf236fc8a6a",1496,"nyt://article/990292da-1165-5edd-bf43-bbf236fc8a6a",NA,NA,"Strategies for Long-Distance Caregiving",NA,NA,NA,NA,NA,NA,"By Elizabeth Yuko",NA,266,10,30
"18","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Elder care accounts for two-thirds of its spending. Without it, women will end up spending more time and money to care for parents.","https://www.nytimes.com/2017/06/15/opinion/medicaid-health-care-bill-daughters.html","Elder care accounts for two-thirds of its spending. Without it, women will end up spending more time and money to care for parents.","Nearly one in five adult children at some point provide care for at least one elderly parent, according to a new study by the Center for Retirement Research at Boston College. The burden is particularly demanding for daughters, who spend as much time on such care as spouses of older adults, and as much time as sons, in-laws, grandchildren and other relatives combined.","The New York Times","2017-06-15T07:21:05+0000","article","Editorial","Opinion",NA,"Editorial","nyt://article/e9bc816a-07d8-5108-91f1-17ac33ca7972",459,"nyt://article/e9bc816a-07d8-5108-91f1-17ac33ca7972","A","24","Daughters Will Suffer From Medicaid Cuts","Editorial",NA,"Daughters Will Suffer From Medicaid Cuts",NA,NA,NA,"By The Editorial Board","The Editorial Board",266,10,30
"19","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Here is a concern that baby boomers might not have thought of: Their children could be taking care of them while still in their 20s or 30s.","https://www.nytimes.com/2019/11/27/business/millennials-caregiving-retirement.html","Here is a concern that baby boomers might not have thought of: Their children could be taking care of them while still in their 20s or 30s.","In the summer of 2017, soon after starting a new job, Ariel Brandt Lautman took her two young children to Denver to visit her mother. This wasn’t purely a social call. Her mother’s memory had been deteriorating for several years, and Ms. Brandt Lautman, who lives in Silver Spring, Md., needed to plan for her care.","The New York Times","2019-11-27T10:00:26+0000","article","SundayBusiness","Business Day",NA,"News","nyt://article/ce863dc0-3351-59c0-bebb-1adabcf02a50",1632,"nyt://article/ce863dc0-3351-59c0-bebb-1adabcf02a50","BU","5","For Millennials Making Their Way, a Detour: To Caregiving","RETIRING",NA,"Busy as Can Be, but Finding Time to Care for Mom",NA,NA,NA,"By Susan B. Garland",NA,266,10,30
"20","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","No such arrangement is without risk. Just make sure that the terms of the employer-employee agreement are clearly spelled out.","https://www.nytimes.com/2022/06/18/realestate/housing-home-aide-job-benefit-risk.html","No such arrangement is without risk. Just make sure that the terms of the employer-employee agreement are clearly spelled out.","Q: Our family owns and operates a small apartment building in Manhattan. My husband and I live in the ground-floor unit, and the apartment two flights up is vacant. Because my husband has a chronic disease, we are exploring options for home care. Could we provide that vacant apartment, which is market rate, to a home aide as an employment benefit? What would happen if the relationship doesn’t work out and we want to replace the aide with someone else? Would they still have rights to the apartment, or could we directly tie the housing to the job?","The New York Times","2022-06-18T09:00:12+0000","article","RealEstate","Real Estate",NA,"News","nyt://article/343502bb-526c-5507-bc17-4f23a807e9d7",342,"nyt://article/343502bb-526c-5507-bc17-4f23a807e9d7","RE","2","Is It Risky to Provide an Apartment to a Home Aide as a Job Benefit?","Ask Real Estate",NA,"The Vacant Unit Upstairs Is Perfect  For a Home Health Aide. Or Is It?",NA,NA,NA,"By Ronda Kaysen",NA,266,10,30
"21","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Sometimes well-meaning check-ins can create an extra burden for both patient and caregiver.","https://www.nytimes.com/2022/02/17/well/family/help-friend-support.html","Sometimes well-meaning check-ins can create an extra burden for both patient and caregiver.","A recent family crisis has taught me a lot about what it means to be a supportive friend.","The New York Times","2022-02-18T01:00:08+0000","article","Well","Well","Family","News","nyt://article/cc3f762d-c001-5007-92ba-8362426de152",937,"nyt://article/cc3f762d-c001-5007-92ba-8362426de152","D","6","How Not to Help a Friend in Need","The Well Newsletter",NA,"Help a Friend in Need By Stopping to Think",NA,NA,NA,"By Tara Parker-Pope",NA,266,20,35
"22","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","It’s hard enough to have a child with cancer. It shouldn’t crush families financially.","https://www.nytimes.com/2021/08/05/opinion/childhood-cancer-finance-bankruptcy.html","It’s hard enough to have a child with cancer. It shouldn’t crush families financially.","My infant daughter was diagnosed with a brain cancer nearly a year ago. She endured several surgeries and horrific side effects from her chemotherapy, which ultimately took her life on Christmas Eve. And yet, my family was one of the lucky ones.","The New York Times","2021-08-05T09:00:08+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/c816ae86-8211-5753-a4d2-e808812f0021",1092,"nyt://article/c816ae86-8211-5753-a4d2-e808812f0021","A","19","I Will Mourn My Daughter Forever. But I Was One of the Lucky Ones.","Guest Essay",NA,"Pediatric Cancer Shouldn’t Bankrupt Families ",NA,NA,NA,"By Andrew Kaczynski",NA,266,20,35
"23","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","No such arrangement is without risk. Just make sure that the terms of the employer-employee agreement are clearly spelled out.","https://www.nytimes.com/2022/06/18/realestate/housing-home-aide-job-benefit-risk.html","No such arrangement is without risk. Just make sure that the terms of the employer-employee agreement are clearly spelled out.","Q: Our family owns and operates a small apartment building in Manhattan. My husband and I live in the ground-floor unit, and the apartment two flights up is vacant. Because my husband has a chronic disease, we are exploring options for home care. Could we provide that vacant apartment, which is market rate, to a home aide as an employment benefit? What would happen if the relationship doesn’t work out and we want to replace the aide with someone else? Would they still have rights to the apartment, or could we directly tie the housing to the job?","The New York Times","2022-06-18T09:00:12+0000","article","RealEstate","Real Estate",NA,"News","nyt://article/343502bb-526c-5507-bc17-4f23a807e9d7",342,"nyt://article/343502bb-526c-5507-bc17-4f23a807e9d7","RE","2","Is It Risky to Provide an Apartment to a Home Aide as a Job Benefit?","Ask Real Estate",NA,"The Vacant Unit Upstairs Is Perfect  For a Home Health Aide. Or Is It?",NA,NA,NA,"By Ronda Kaysen",NA,266,20,35
"24","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The burdens of elder care can be particularly difficult when they come years before expected, in what researchers call “off-time events.”","https://www.nytimes.com/2017/03/10/health/elder-care-caregiving.html","The burdens of elder care can be particularly difficult when they come years before expected, in what researchers call “off-time events.”","It was August, and Gina Rinehart was preparing for another school year as a special-education teacher in Hemet, Calif., when she got the call: Her father, Floyd Hall, was facing surgery to remove a tumor in his lung.","The New York Times","2017-03-10T14:17:00+0000","article","Science","Health",NA,"News","nyt://article/17e6e2f5-c6be-55b6-ba72-3985a90a968f",1232,"nyt://article/17e6e2f5-c6be-55b6-ba72-3985a90a968f","D","5","Pressed Into Caregiving Sooner Than Expected"," The New Old Age",NA,"Pressed Into Caregiving Too Soon",NA,NA,NA,"By Paula Span",NA,266,20,35
"25","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","As more employers offer paid time off after childbirth, a class-action suit has yielded a settlement in which JPMorgan has pledged equal treatment for men and women.","https://www.nytimes.com/2019/05/30/business/fathers-parental-leave-jpmorgan-chase.html","As more employers offer paid time off after childbirth, a class-action suit has yielded a settlement in which JPMorgan has pledged equal treatment for men and women.","For years, scholars, activists and mothers have criticized policies that place the burden of child-rearing overwhelmingly on women. Increasingly, fathers are joining the criticism of these policies — and asserting their legal rights to challenge them.","The New York Times","2019-05-30T14:00:04+0000","article","Business","Business Day",NA,"News","nyt://article/8de73b2e-d7f9-5ae2-b11f-33d785e5440f",1386,"nyt://article/8de73b2e-d7f9-5ae2-b11f-33d785e5440f","B","1","Victory for Fathers in a Parental Leave Case That Could Be a Harbinger",NA,NA,"Fathers Stake Their Claim To Equal Parental Leave",NA,NA,NA,"By Noam Scheiber",NA,266,20,35
"26","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The role that daughters play in health care has received little attention. Now experts are sounding the alarm about the toll it takes on women.","https://www.nytimes.com/2017/05/11/well/family/health-care-daughters-know-all-about-it.html","The role that daughters play in health care has received little attention. Now experts are sounding the alarm about the toll it takes on women.","As Washington debates the relative merits of health care legislation, many families have already come up with what is arguably the most reliable form of care in America: It’s called daughter care.","The New York Times","2017-05-11T15:47:58+0000","article","Science","Well","Family","News","nyt://article/b1986cae-5302-5102-bfc6-075daf28b0d8",1078,"nyt://article/b1986cae-5302-5102-bfc6-075daf28b0d8","D","4","Health Care? Daughters Know All About It",NA,NA,"The Daughter Care System",NA,NA,NA,"By Roni Caryn Rabin",NA,266,20,35
"27","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Hang around the ducklings right after they hatch. The birds open their eyes and immediately start looking for a caregiver.","https://www.nytimes.com/2022/06/22/magazine/how-to-imprint-ducklings.html","Hang around the ducklings right after they hatch. The birds open their eyes and immediately start looking for a caregiver.","“Ducklings will imprint on anything that moves that’s bigger than a matchbox,” says Antone Martinho-Truswell, who co-founded the Duckling Laboratory at the University of Oxford while getting his doctorate in zoology. Ducks are what scientists call precocial birds — capable of feeding, swimming and walking soon after hatching. Still, ducklings are vulnerable, which is why the little puffballs evolved to seek and memorize the image of their mothers. Should a duckling hatch and not see her, it will eagerly imprint on something else, like you.","The New York Times","2022-06-22T09:00:04+0000","article","Magazine","Magazine",NA,"News","nyt://article/ed8231a3-37ea-54e3-8aa1-92eeab688c13",397,"nyt://article/ed8231a3-37ea-54e3-8aa1-92eeab688c13","MM","19","How to Imprint Ducklings","Tip",NA,"How to Imprint Ducklings",NA,NA,NA,"By Malia Wollan",NA,266,20,35
"28","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","This documentary argues that this disease will soon overwhelm both the health and the caregiver systems.","https://www.nytimes.com/2017/01/24/arts/television/review-alzheimers-an-urgent-look-on-pbs.html","This documentary argues that this disease will soon overwhelm both the health and the caregiver systems.","When a documentary’s talking heads use both “tsunami” and “sinkhole” to describe a problem, it gets your attention. And that is precisely the point of “Alzheimer’s: Every Minute Counts,” which PBS broadcasts on Wednesday.","The New York Times","2017-01-24T21:22:04+0000","article","Culture","Arts","Television","Review","nyt://article/a1a4c616-fbf6-55e2-8295-d0fd5c4124f7",474,"nyt://article/a1a4c616-fbf6-55e2-8295-d0fd5c4124f7","C","4","Review: ‘Alzheimer’s,’ an Urgent Look on PBS",NA,NA,"An Urgent View of Alzheimer’s Toll",NA,NA,NA,"By Neil Genzlinger",NA,266,20,35
"29","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Otter, a new child care platform, is attracting millions of dollars in venture capital. But can it fix a broken industry?","https://www.nytimes.com/2022/08/31/business/otter-child-care.html","Otter, a new child care platform, is attracting millions of dollars in venture capital. But can it fix a broken industry?","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.","The New York Times","2022-08-31T09:00:29+0000","article","SundayBusiness","Business Day",NA,"News","nyt://article/4395d927-3845-55a5-adcb-acce2d7a5c8c",2026,"nyt://article/4395d927-3845-55a5-adcb-acce2d7a5c8c","BU","8","Silicon Valley Discovers an Age-Old Child Care Hack: The Neighbors",NA,NA,"Venture Capital Backs Age-Old Child Care Hack",NA,NA,NA,"By Alisha Haridasani Gupta",NA,266,20,35
"30","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The protection of a patient’s health records does not prohibit health care providers from sharing information with family, friends and caregivers.","https://www.nytimes.com/2015/07/21/health/hipaas-use-as-code-of-silence-often-misinterprets-the-law.html","The protection of a patient’s health records does not prohibit health care providers from sharing information with family, friends and caregivers.","How do people use, misuse or abuse Hipaa, the federal regulations protecting patients’ confidential health information? Let us count the ways:","The New York Times","2015-07-17T10:00:17+0000","article","Science","Health",NA,"News","nyt://article/be1aa2f5-b278-5635-881d-feae73c360ce",1245,"nyt://article/be1aa2f5-b278-5635-881d-feae73c360ce","D","2","Hipaa’s Use as Code of Silence Often Misinterprets the Law"," The New Old Age",NA,"Hipaa as a Code of Silence",NA,NA,NA,"By Paula Span",NA,266,20,35
"31","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The focus on child care may conceal a bigger barrier to female participation in the labor force: tending to the growing ranks of aging family members.","https://www.nytimes.com/2017/12/19/business/economy/women-work-elder-care.html","The focus on child care may conceal a bigger barrier to female participation in the labor force: tending to the growing ranks of aging family members.","Why did women’s rush into the work force stop? Policymakers have been vexed by the question for years. Social scientists have discussed the sudden stop for over a decade, in conferences and academic papers. Almost 12 years ago, I gave the topic a shot in the pages of The Times: why, after a five-decade rise, did the labor-force participation of women in the prime working years stall around the turn of the century?","The New York Times","2017-12-19T12:00:26+0000","article","Business","Business Day","Economy","News","nyt://article/dc7e2dda-450e-54cf-b564-f086323ef8ab",1221,"nyt://article/dc7e2dda-450e-54cf-b564-f086323ef8ab","B","1","How Care for Elders, Not Children, Denies Women a Paycheck","Economic Scene",NA,"The Weight Of Elder Care On Women",NA,NA,NA,"By Eduardo Porter",NA,266,30,28
