"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub"
"“The Creativity Code,” “Deep Medicine” and “Talk to Me” together reveal the wide range of influence technology does, should and will have on the human condition.","“The Creativity Code,” “Deep Medicine” and “Talk to Me” together reveal the wide range of influence technology does, should and will have on the human condition.","THE CREATIVITY CODE Art and Innovation in the Age of A.I. By Marcus Du Sautoy","The New York Times","2019-05-02T22:51:02+0000","article","Books","News","nyt://article/eec4402c-3081-5ceb-9438-e5e875abd424","Book Review","The Future of A.I., According to Three New Books","The Shortlist",NA,"Artificial Intelligence",NA,NA,NA
"Instead of pushing competitive buttons, low-stakes games like Pokémon Go and Neko Atsume: Kitty Collector feel like charming interludes.","Instead of pushing competitive buttons, low-stakes games like Pokémon Go and Neko Atsume: Kitty Collector feel like charming interludes.","All around the world, millions of smartphone users are preparing for war. Pokémon Go has sent players scurrying outside their homes to hunt cartoon critters, chuck virtual balls at them, and then groom their captured characters into a digital army. Advance far enough in the game, and players are invited to join a Pokémon team and stage face-offs at designated gyms — basically, virtual forts — where battle-ready competitors descend to hold their phones with a white-knuckle grip, stare unblinkingly at the screen and tap furiously on one another’s Pokémon in a bid to seize control of the territory.","The New York Times","2016-08-09T16:21:19+0000","article","Arts","News","nyt://article/efe04cb7-9624-5f85-a23d-8ea12b96b591",NA,"The Slow-Game App Is the New Smoke Break",NA,NA,"The New Smoke Break: Slow-Game Apps",NA,NA,NA
"Mr. Houghton, who died Tuesday, founded a Signature Theater whose seasons have focused mostly on a single playwright — a radical, fruitful approach.","Mr. Houghton, who died Tuesday, founded a Signature Theater whose seasons have focused mostly on a single playwright — a radical, fruitful approach.","It could be argued that James Houghton, who died this week after a battle with cancer, did more for the American theater during the past quarter-century than anyone else — playwright, director or producer, man or woman, anyone the average theatergoer knows by name.","The New York Times","2016-08-03T22:27:25+0000","article","Theater","An Appraisal","nyt://article/5fed14a8-a5b1-50a7-8459-89ed15bcd451",NA,"James Houghton, a Daring Champion of the American Theater","An Appraisal",NA,NA,NA,NA,NA
"In “70Candles!,” older women explore the most important issues facing women as they age, and how society might help ease their way into the future.","In “70Candles!,” older women explore the most important issues facing women as they age, and how society might help ease their way into the future.","A recently published book, “70Candles! Women Thriving in Their 8th Decade,” inspired me to take a closer look at how I’m doing as I approach 75 and how I might make the most of the years to come. It would be a good idea for women in my age cohort to do likewise. With a quarter of American women age 65 expected to live into their 90s, there could be quite a few years to think about.","The New York Times","2016-04-25T09:45:32+0000","article","Health","News","nyt://article/9fd8a363-87f8-5cc6-9e1e-a7678db2d31d",NA,"Thriving at Age 70 and Beyond","Well",NA,"Thriving at Age 70 and Beyond",NA,NA,NA
"Like some cartoonish anvil, the weight of my dad’s mortality hit me at a dying patient’s bedside.","Like some cartoonish anvil, the weight of my dad’s mortality hit me at a dying patient’s bedside.","Halfway through medical school, I discovered my dad’s age: 66.","The New York Times","2020-03-10T09:00:05+0000","article","Well","News","nyt://article/47c043c5-ca43-5936-9c99-6c715854eaf3","Live","The Patient Was Like My Dad in Two Telling Ways: Age and Sex","Doctors",NA,NA,NA,NA,NA
"Economic and cultural shifts in the last decade have made fatherhood feel like uncharted territory. Dads’ groups can help.","Economic and cultural shifts in the last decade have made fatherhood feel like uncharted territory. Dads’ groups can help.","When my wife, Courtney, and I were expecting our first child just a few years ago, I was astonished by the almost instantaneous community of expectant and new mothers that greeted her. Despite the fact that we’d just moved cross-country and didn’t yet know many people, she was flooded with sage advice and a deep sense of community.","The New York Times","2016-06-19T10:00:39+0000","article","Health","News","nyt://article/cdf24fe4-da43-5b7a-bbb4-9ea4b160e9e7",NA,"The New Dads’ Club","Well",NA,NA,NA,NA,NA
"In the Roundabout Theater revival of John Osborne’s 1956 landmark play, “Look Back in Anger,” Matthew Rhys plays the British working-class antihero.","In the Roundabout Theater revival of John Osborne’s 1956 landmark play, “Look Back in Anger,” Matthew Rhys plays the British working-class antihero.","High concept makes for low impact in the new Roundabout Theater Company revival of John Osborne’s classic 1956 play, “Look Back in Anger,” directed by Sam Gold and starring Matthew Rhys of television’s “Brothers and Sisters” as the prototypical angry young man of mid-20th-century British drama. ","The New York Times","2012-02-03T03:03:02+0000","article","Theater","Review","nyt://article/e05cdcbd-6b60-5e34-83f6-26e40bc3cbed","Theater Reviews","The Wounded and Wounding in ’50s Britain","Theater Review",NA,"The Wounded And Wounding In ’50s Britain",NA,NA,NA
"What does Hope Hicks do, exactly? Vast amounts of emotional labor.","What does Hope Hicks do, exactly? Vast amounts of emotional labor.","There are so many bombshells in Michael Wolff’s new book, “Fire and Fury,” that smaller anecdotes are going largely unremarked upon, even if they offer disturbing insight into the presidential psyche. One of them is Mr. Trump’s penchant for hiring women into often vaguely defined but closely held roles.","The New York Times","2018-01-20T16:13:43+0000","article","Opinion","Op-Ed","nyt://article/19337d65-df99-5968-8320-c80301336e16",NA,"Donald Trump and His Work Wives","Contributing Op-Ed Writer",NA,"Donald Trump’s Work Wives",NA,NA,NA
"A roadside bomb wiped out a family in Afghanistan, except for a tiny girl who arrived in a shepherd’s arms at a hospital where no one knew her name. She was called “Angel” as she struggled to survive.","A roadside bomb wiped out a family in Afghanistan, except for a tiny girl who arrived in a shepherd’s arms at a hospital where no one knew her name. She was called “Angel” as she struggled to survive.","JALALABAD, Afghanistan — On the small whiteboard above the little girl’s hospital bed, in the medical bills that she had no one left to pay, and in the news reports about a shattered toddler’s struggle to survive, she was called Fereshta — the Persian word for angel.","The New York Times","2018-12-28T10:00:09+0000","article","World","News","nyt://article/6dbf6e9f-377c-55a4-98db-b93c9fee9de6","Asia Pacific","Along a Road of Sorrow, a Toddler Lost Her Name, Her Family and Her Life","Afghanistan Dispatch",NA,"Orphan’s Tale Was the End Of Tragedies For a Family",NA,NA,NA
"The players of the Palm Beach Atlantic University baseball team, and their fathers, recalled their relationship with the team’s coach, Gary Carter, who died last week.","The players of the Palm Beach Atlantic University baseball team, and their fathers, recalled their relationship with the team’s coach, Gary Carter, who died last week.","Palm Beach Gardens, Fla.","The New York Times","2012-02-22T18:06:38+0000","article","Sports","News","nyt://article/a9487f48-1a12-5524-b226-ed447c0debd2","Baseball","Where Kid Was Known as Skip","On Baseball",NA,"Where Kid Was Known as Skip",NA,NA,NA
"On his fourth solo album, Drake is fending off attacks, maintaining his grip on turf he controls and wondering what might be next.","On his fourth solo album, Drake is fending off attacks, maintaining his grip on turf he controls and wondering what might be next.","Drake’s career has been built on collapsing walls, and “One Dance,” one of the early singles from his new album, “Views,” is a vivacious fulfillment of his promise as hip-hop’s great syncretic hope.","The New York Times","2016-04-29T19:19:22+0000","article","Arts","Review","nyt://article/cbef294a-b373-559a-8651-46d2953c7b68","Music","Review: On ‘Views,’ Drake Is Still His Own Genre",NA,NA,"On His New Album, Drake Is Still a Genre of One",NA,NA,NA
"Scott McPherson’s 1991 Off Broadway hit about duty to self and to others makes its Broadway debut in a very different world.","Scott McPherson’s 1991 Off Broadway hit about duty to self and to others makes its Broadway debut in a very different world.","Are we grimmer or dumber or colder than we were in 1991, when Frank Rich, in The New York Times, called Scott McPherson’s “Marvin’s Room” “one of the funniest plays of this year as well as one of the wisest and most moving”? He did so even while noting that this “healing” comedy, then opening Off Broadway, featured three major characters dying or disintegrating — and a bunch of others arguably worse off.","The New York Times","2017-06-30T02:00:28+0000","article","Theater","Review","nyt://article/2e7bfa0a-12ac-5838-8116-bca61d44d089",NA,"Review: In ‘Marvin’s Room,’ Who Will Care for the Caregiver?",NA,NA,"Who Will Care for the Caregiver?",NA,NA,NA
"When children help with the education of a brother or sister with special needs, the outcomes are often good for both.","When children help with the education of a brother or sister with special needs, the outcomes are often good for both.","Not long after my mother learned that my brother, David, was autistic, she began what she called “little school”: sessions in which she taught him to draw faces, cut with scissors, read and cook. He was 4, I was 2. I recently asked her how she balanced David’s needs with mine. “You were the teacher’s assistant,” she said. “I was trying to make you feel important.”","The New York Times","2020-05-11T12:27:58+0000","article","Parenting","News","nyt://article/c589aded-6002-5ca5-8d10-f097800abfd8",NA,"Growing Up Alongside a Sibling With a Disability",NA,NA,NA,NA,NA,NA
"Relics and memorabilia from infamous shipwrecks like those of the Andrea Doria, the Lusitania and the Normandie are showing up more often at auctions and in museums.","Relics and memorabilia from infamous shipwrecks like those of the Andrea Doria, the Lusitania and the Normandie are showing up more often at auctions and in museums."," ","The New York Times","2010-06-17T21:40:40+0000","article","Arts","News","nyt://article/8babe9b8-95eb-5b5f-9412-81470043a825","Art & Design","Connoisseurs of Tragedy Disperse Relics of Wrecks","Antiques",NA,"Connoisseurs Of Tragedy Disperse Relics of Wrecks",NA,NA,NA
"Hint: They don’t just get “dad bods.”","Hint: They don’t just get “dad bods.”","This story was originally published on June 13, 2019 in NYT Parenting.","The New York Times","2020-04-15T19:39:45+0000","article","Parenting","News","nyt://article/9a665333-375d-5b9d-a3a8-0f7bfe208f5f","Baby","How Men’s Bodies Change When They Become Fathers",NA,NA,NA,NA,NA,NA
"The writing-directing married pair behind “Still Alice,” about a woman struck by Alzheimer’s, are dealing with a different disease, A.L.S.","The writing-directing married pair behind “Still Alice,” about a woman struck by Alzheimer’s, are dealing with a different disease, A.L.S.","LOS ANGELES — One of this year’s surprise cinematic success stories centers on the independent film “Still Alice,” which tells the tale of an Ivy League linguistics professor dealing with early-onset Alzheimer’s.","The New York Times","2014-11-26T14:47:44+0000","article","Movies","News","nyt://article/2fd191f2-c7ee-5338-be16-8cdda0037603",NA,"Yearning to Make the Connection",NA,NA,"Yearning to Make the Connection",NA,NA,NA
"Three recent memoirs explore self-definition amid chronic illness, race and fatherhood.","Three recent memoirs explore self-definition amid chronic illness, race and fatherhood.","WHAT DOESN’T KILL YOUA Life with Chronic Illness — Lessons From a Body in RevoltBy Tessa Miller303 pp. Holt. $26.99.","The New York Times","2021-02-18T15:37:38+0000","article","Books","News","nyt://article/2eebe5b4-fd49-5502-9421-eee424865a23","Book Review","Three Memoirs About the Messiness of Life and Self-Definition","The Shortlist",NA,NA,NA,NA,NA
"With time, a Danish cottage became more than just the remains of a failed marriage.","With time, a Danish cottage became more than just the remains of a failed marriage.","I owned the cottage right from the beginning. Or it owned me.","The New York Times","2013-08-14T22:00:56+0000","article","Home & Garden","News","nyt://article/a99f3303-34ec-55e3-b5eb-e1ad5dc63fd7",NA,"Bound to a Place, Despite Life’s Thorns",NA,NA,"Bound to a Place, Despite Life’s Thorns",NA,NA,NA
"In almost every mammal species, an infant’s cry has a primal impact on nearby adults. Scientists are beginning to figure out why.","In almost every mammal species, an infant’s cry has a primal impact on nearby adults. Scientists are beginning to figure out why.","A normal human baby, according to psychologists, will cry about two hours over the course of a day.","The New York Times","2017-09-04T14:27:12+0000","article","Science","News","nyt://article/3d29d12f-21a3-5836-82b3-d92cba9ed2a4",NA,"A Baby Wails, and the Adult World Comes Running","Basics",NA," A Good Cry",NA,NA,NA
"Taking Questions: Matthew Bakkom, the editor and creator of “New York City Museum of Complaint,” responds to readers.","Taking Questions: Matthew Bakkom, the editor and creator of “New York City Museum of Complaint,” responds to readers.","Following is the third and final set of responses from Matthew Bakkom, the editor and creator of “New York City Museum of Complaint,” a collection of 132 letters written to the mayor of New York from 1751 to 1969.","The New York Times","2010-02-19T18:56:39+0000","article","New York",NA,"nyt://article/a096a13c-a3f9-5967-91a4-3904c9facc43",NA,"Answers About the History of Complaining, Part 3","City Room",NA,NA,NA,NA,NA
"In Joshua Ferris’s second novel, a successful Manhattan trial attorney is afflicted with an uncontrollable compulsion to leave his desk and trek for miles.","In Joshua Ferris’s second novel, a successful Manhattan trial attorney is afflicted with an uncontrollable compulsion to leave his desk and trek for miles.","The ad agency employees who form the collective narrative voice of Joshua Ferris’s masterly debut, “Then We Came to the End,” are on intimate terms with the concept of branding. As branders, they undoubtedly would have advised their creator, in planning his second novel, to hew closely to the recipe that made his first novel such a critical and popular success, that made it read sort of like a highbrow novelization of “The Office.” With his second novel Ferris makes it clear that he has absolutely no intention, for the moment at least, of repeating himself or creating an authorial brand. In fact, it’s difficult to believe that “The Unnamed” and “Then We Came to the End” come from the same laptop.","The New York Times","2010-01-22T16:54:51+0000","article","Books","Review","nyt://article/4abaad27-34dd-5163-8bfd-19a916a60a7d","Book Review","Long March",NA,NA,"Long March",NA,NA,NA
"In countries with family-friendly policies, women are likelier to stay in the labor force, but less likely to reach positions of real power.","In countries with family-friendly policies, women are likelier to stay in the labor force, but less likely to reach positions of real power.","When measured by who holds a job, American women are falling behind women in other developed countries. Yet the American women who are working tend to have more high-achieving careers. Within that paradox lies a puzzle about how to shape maternity leave.","The New York Times","2014-08-09T17:09:23+0000","article","The Upshot","News","nyt://article/b42d5627-6e71-5b0f-9a09-d0e628e7e826",NA,"Can Family Leave Policies Be Too Generous? It Seems So","Perverse Incentives",NA,"Can Family Leave Hurt Women’s Careers?",NA,NA,NA
"For too long, mothers have been held responsible for every aspect of their children’s well-being.","For too long, mothers have been held responsible for every aspect of their children’s well-being.","I couldn’t sleep on the night of March 12. New York City public schools were still open, and many of my peers were choosing to pull their children out. I couldn’t decide whether to keep mine in class. My friends in Hong Kong had been home with their kids for months, but the schools never closed in Singapore.","The New York Times","2020-03-25T09:00:13+0000","article","Opinion","Op-Ed","nyt://article/05a0ec45-e583-52c6-8977-ff104975e654",NA,"How Coronavirus Exposes the Great Lie of Modern Motherhood",NA,NA,NA,NA,NA,NA
"This holiday season, help the farmers and food producers who make possible the dishes that mean something to you. ","This holiday season, help the farmers and food producers who make possible the dishes that mean something to you. ","This article is part of Times Opinion’s 2022 Giving Guide. Read more about the guide in a note from Opinion’s editor, Kathleen Kingsbury.I have food on my mind. The few weeks between Thanksgiving and the end-of-year holidays are a time when eating becomes something more than a utilitarian need or even a personal pleasure. Now is the time of year when food’s cultural significance takes center stage in our overscheduled lives. We may eat standing at a desk most of the year, but during the holidays we are reconnected to food’s deeper meaning.","The New York Times","2022-11-29T10:00:14+0000","article","Opinion","Op-Ed","nyt://article/7ca5a13c-9fa4-5a51-94d8-119955cf36e2",NA,"Help Black Farmers, Who Know Hyperlocal Doesn’t Mean Fancy","Tressie McMillan Cottom",NA,"Help Black Farmers This Holiday Season",NA,NA,NA
"They’re often the same people — because parents go in and out of the work force depending on their caretaking needs.","They’re often the same people — because parents go in and out of the work force depending on their caretaking needs.","[Sign up here to receive NYT Parenting in your inbox once a week]","The New York Times","2019-05-21T20:31:26+0000","article","Parenting","News","nyt://article/575368c6-41c0-5529-9e68-bf521d6f4e88",NA,"Working Moms and Stay-at-Home Moms Are Not at War",NA,NA,NA,NA,NA,NA
"In “Read Until You Understand,” Farah Jasmine Griffin explores how books have served as instruction manuals to guide her through difficulty and triumph.","In “Read Until You Understand,” Farah Jasmine Griffin explores how books have served as instruction manuals to guide her through difficulty and triumph.","READ UNTIL YOU UNDERSTANDThe Profound Wisdom of Black Life and LiteratureBy Farah Jasmine Griffin","The New York Times","2021-10-23T09:00:03+0000","article","Books","Review","nyt://article/7d7e1a59-9964-530f-9f20-852a36a3c57c","Book Review","How Literature by Black Authors Shaped One Scholar’s Life","Nonfiction",NA,"Operating Instructions",NA,NA,NA
"In Chicago’s public schools, where 258 students were shot last school year, a program places advocates with youths at risk of falling victim to violence.","In Chicago’s public schools, where 258 students were shot last school year, a program places advocates with youths at risk of falling victim to violence.","CHICAGO  The bonding moment between Veronica Tinajero and the student she calls Big Sunshine came during one of their first meetings.","The New York Times","2010-07-02T01:15:10+0000","article","U.S.","News","nyt://article/3e5751aa-3167-5a2c-8c3b-ea393f9d6381",NA,"Graduation Is the Goal, Staying Alive the Prize",NA,NA,"Graduation Is the Goal, Staying Alive the Prize",NA,NA,NA
"Plant-based menus have become the new hubs of culinary creativity, and this bright all-day cafe offers plenty.","Plant-based menus have become the new hubs of culinary creativity, and this bright all-day cafe offers plenty.","New ideas are bubbling up faster in vegan restaurants than in any other kind of kitchen right now. People who can’t see this are looking in the wrong places. They’re probably used to seeing creative leaps that started in kitchens that function as research laboratories, like Noma in the last decade and El Bulli before that, and then trickled down to other restaurants.","The New York Times","2021-12-07T16:30:23+0000","article","Food","Review","nyt://article/ed6a494c-719a-5619-a000-d355a0a24c67",NA,"Basking in a Vegan Caribbean at Aunts et Uncles in Brooklyn","Restaurant review",NA,"Fresh Discoveries for Vegan Dining",NA,NA,NA
"Photos of suffering children have the power to soften sentiment toward the “other.” Can that still happen in a polarized age?","Photos of suffering children have the power to soften sentiment toward the “other.” Can that still happen in a polarized age?","NASHVILLE — On June 8, 1972, Nick Ut, a Vietnamese photographer working for The Associated Press, shot a now-iconic photo of children fleeing napalm mistakenly dropped on their village by South Vietnamese forces. At the center of the photo is a naked 9-year-old girl named Phan Thi Kim Phuc. She is in agony; her skin appears to be melting. None of the helmeted soldiers in the background are looking at the children. Only the photographer sees her pain.","The New York Times","2020-02-17T10:00:13+0000","article","Opinion","Op-Ed","nyt://article/e7b948a9-794f-5e96-877a-da97dcd1f5a2",NA,"When a Picture Is Worth a Thousand Tears",NA,NA,NA,NA,NA,NA
"Parents feel emotionally and financially stressed by caring for young children and older relatives at the same time.","Parents feel emotionally and financially stressed by caring for young children and older relatives at the same time.","This piece is part of “The Price of Modern Parenting.” Read more about the sandwich generation, the cost of adoption and out-of-pocket expenses for preterm births.","The New York Times","2020-02-11T20:26:15+0000","article","Parenting","News","nyt://article/59db40a3-e2ee-54dc-8437-200e72221241",NA,"‘It’s Pretty Brutal’: The Sandwich Generation Pays a Price",NA,NA,NA,NA,NA,NA
"In the memoir “Lights On, Rats Out,” Cree LeFavour recalls the damaged young woman she once was.","In the memoir “Lights On, Rats Out,” Cree LeFavour recalls the damaged young woman she once was.","LIGHTS ON, RATS OUT A Memoir By Cree LeFavour 312 pp. Grove Press. $25.","The New York Times","2017-07-24T09:00:25+0000","article","Books","Review","nyt://article/2c5862bb-ee81-5a3c-a380-67a484f4f48c","Book Review","An Odyssey Through Self-Harm and Out the Other Side","Nonfiction",NA,"The Tolerable Stranger",NA,NA,NA
"Women with disabilities often begin to date much later in life, and they struggle in a dating culture that places a premium on physical appearance.","Women with disabilities often begin to date much later in life, and they struggle in a dating culture that places a premium on physical appearance.","Sometimes when Tabitha Estrellado meets a man, he will extend a hand and expect her to shake it. But she can’t — and it’s awkward to explain why when you’re trying to flirt.","The New York Times","2016-12-08T12:00:05+0000","article","Well","News","nyt://article/2a2e3e6b-e7c9-5820-acbe-8ddc35271444","Family","Dating With a Disability",NA,NA,"Dating With a Disability",NA,NA,NA
"The gender division in Halloween garb, along with other cues, influences the subjects that children choose to study and the jobs they pursue.","The gender division in Halloween garb, along with other cues, influences the subjects that children choose to study and the jobs they pursue.","A web search for Halloween costumes of scientists produces only boys wearing lab coats and goggles. A search for nursing costumes turns up girls in skirts with stethoscopes. Cats and cupcakes are also girls, while sharks and astronauts are boys.","The New York Times","2015-10-30T14:05:03+0000","article","The Upshot","News","nyt://article/106979ab-a0b7-582f-a1d6-72471b5cff65",NA,"Boys and Girls, Constrained by Toys and Costumes","Role Playing",NA,NA,NA,NA,NA
"In a brief respite from the draining routines of caregiving, an affinity for a man at another table sparks a certain hunger.","In a brief respite from the draining routines of caregiving, an affinity for a man at another table sparks a certain hunger.","My husband’s heart condition is worsening. His diabetes goes uncontrolled, we are losing the house we have lived in for more than 30 years, and dementia prevents him from discussing any of it. I leave him with a health aide and escape for lunch.","The New York Times","2019-04-26T09:00:01+0000","article","Well","News","nyt://article/af33803f-3eff-583e-87c6-2391a58ec98e","Family","Out to Lunch",NA,NA,NA,NA,NA,NA
"“I felt humility for the first time in my life,” he said, “my heart and soul opened up, and I could just feel that the special connection we once had was back again.”","“I felt humility for the first time in my life,” he said, “my heart and soul opened up, and I could just feel that the special connection we once had was back again.”","Forty-one years into his marriage, George Shannon became better acquainted with a woman he once took for granted, and fell deeply in love with her.","The New York Times","2019-02-12T17:01:07+0000","article","Fashion & Style","News","nyt://article/a9f1d51d-5c21-5e29-9402-ff066e636a43","Weddings","A Distant Husband Becomes Caretaker and Falls Madly in Love Again",NA,NA,"Recalling a Wife’s Illness, and a Strengthened Bond",NA,NA,NA
"With works by 40 artists, the Institute of Contemporary Art/Boston examines many aspects of the lives of children.","With works by 40 artists, the Institute of Contemporary Art/Boston examines many aspects of the lives of children.","The Institute of Contemporary Art/Boston  has bold ambitions for “To Begin Again: Artists and Childhood,” its thematic group exhibition that explores how visual artists have been inspired and influenced by children and childhood, on view through Feb. 26.","The New York Times","2022-10-21T09:00:29+0000","article","Arts","News","nyt://article/73adfaf2-eebe-5232-8fb3-803e5f257ee6","Art & Design","How Childhood Inspires Artists and Their Art",NA,NA,"Inspired by Childhood",NA,NA,NA
"The artist’s installations, now on view in Manhattan, showcase her arduous journey from tokenism to transcendence.","The artist’s installations, now on view in Manhattan, showcase her arduous journey from tokenism to transcendence.","Keioui Keijaun Thomas is a bath taker.","The New York Times","2021-07-13T18:42:10+0000","article","Arts","News","nyt://article/66f1c372-395b-5552-8892-6e4c5e068b7a","Art & Design","For Keioui Keijaun Thomas, the Body Becomes a Vessel",NA,NA,"The Body Becomes a Transcendent Vessel",NA,NA,NA
"Most research suggests that couples are less happy after they become parents, but there are ways to reorient your relationship after parenthood.","Most research suggests that couples are less happy after they become parents, but there are ways to reorient your relationship after parenthood.","The lowest point of my marriage was probably when I was excessively pregnant with our second daughter. It was 90 degrees outside every day, and I had blown past my due date with no signs of labor. I had trouble falling asleep but had finally drifted off one night when my husband came home from a work event and woke me up. I had a brief and fleeting desire to bludgeon him with a bedside lamp.","The New York Times","2020-04-15T11:38:20+0000","article","Parenting","News","nyt://article/cab50239-99e3-54f5-ba1e-e36261eb7198","Guides","Fighting Constantly After Baby? Read This",NA,NA,NA,NA,NA,NA
"Geraldine Kentish supports two children with disabilities, but had little money left over after paying rent on their Harlem apartment.","Geraldine Kentish supports two children with disabilities, but had little money left over after paying rent on their Harlem apartment.","Whenever Geraldine Kentish and her daughter Ena return home — from whatever errand or doctor appointment lured them out — Ms. Kentish gently takes away Ena’s walker so that she can climb the stairs to their second-floor apartment on her own.","The New York Times","2014-11-01T18:27:58+0000","article","New York","News","nyt://article/4edf1a9b-bf37-5714-8693-d1c5f7e2c7b9",NA,"Mother Who Provides Round-the-Clock Care Finds Solace in Her Home","The Neediest Cases",NA,"A Mother Who Provides Round-the-Clock Care Finds Solace in Her Home",NA,NA,NA
"The mile-and-a-half racetrack at Belmont Park, which has unusual aspects ranging from its length to its running surface, requires a great deal of maintenance.","The mile-and-a-half racetrack at Belmont Park, which has unusual aspects ranging from its length to its running surface, requires a great deal of maintenance.","A week before the 146th running of the Belmont Stakes, a tractor with wheels practically the size of horses towed a grader along the track while a worker on the back checked the depth of the dirt’s surface every couple of feet.","The New York Times","2014-06-06T01:27:50+0000","article","Sports","News","nyt://article/ef7fdb5e-5507-587e-8d80-460cf3955ce1",NA,"The Complex Battle to Achieve the Perfect Dirt",NA,NA,"The Complex Battle To Achieve the Perfect Dirt ",NA,NA,NA
"It’s OK to hate capture the flag.","It’s OK to hate capture the flag.","At dinner we go around and tell one another our favorite part of the day. Most days, my daughters both say the highlight is “Capture the flag with Daddy.” The bigger part of me is so pleased to hear that they have a new ritual they adore, one that gets their yayas out so they might actually go to sleep at a reasonable hour.","The New York Times","2020-04-29T12:35:41+0000","article","Parenting","News","nyt://article/1872ca22-6192-5e2b-9396-cdc48bf5e828",NA,"I Don’t Want to Be a Fun Mom",NA,NA,NA,NA,NA,NA
"Experts offer strategies for controlling and managing conflict, which can make families happier.","Experts offer strategies for controlling and managing conflict, which can make families happier.","I CALLED IT THE 7:42 P.M. FIGHT. It happened every night when my wife and I gathered to discuss the detritus of our lives. Who’s waking up early with the kids? Who’s going to take Grandma to the eye doctor? What do you mean you forgot to pick up the milk?","The New York Times","2013-04-12T20:32:07+0000","article","Fashion & Style","News","nyt://article/4928f405-1ee6-5147-b685-9543b14fcbc1",NA,"Lessons in Domestic Diplomacy","This Life",NA,"Lessons in Domestic Diplomacy",NA,NA,NA
"How pregnancy and parenthood kick neurological development into high gear.","How pregnancy and parenthood kick neurological development into high gear.","When a woman gets pregnant, she can expect a bevy of physical changes to sweep through her body: morning sickness, exhaustion, quickly growing breasts, loosening joints, swelling hands and feet, hair and skin changes, dry eyes and more.","The New York Times","2020-05-05T19:47:26+0000","article","Parenting","News","nyt://article/270ad16c-c99e-591e-a6c2-4cbfc2890528",NA,"This Is Your Brain on Motherhood",NA,NA,NA,NA,NA,NA
"Adultification means teachers, parents and law enforcement are less protective and more punitive with certain kids.","Adultification means teachers, parents and law enforcement are less protective and more punitive with certain kids.","This story was originally published on Jan. 28, 2020 in NYT Parenting.","The New York Times","2020-04-17T18:34:05+0000","article","Parenting","News","nyt://article/e62d884b-7e90-5335-a3f0-dab5b779729a",NA,"Why Won’t Society Let Black Girls Be Children?",NA,NA,NA,NA,NA,NA
"“Natural” sounds so relaxing. So earth goddess. But how often do people really want women to do anything “natural”?","“Natural” sounds so relaxing. So earth goddess. But how often do people really want women to do anything “natural”?","I AM seven months pregnant and standing in line at a grocery store in Brooklyn, minding my own business (as much as anyone pregnant can mind her own business, because people constantly feel as if they have the right to talk to pregnant women about their pregnancy). A woman in front of me turns around. She’s a little younger than me. She does not appear pregnant. She is not with kids. Maybe she has kids at home. It doesn’t really matter.","The New York Times","2016-07-09T18:30:30+0000","article","Opinion","Op-Ed","nyt://article/adf0284c-28b8-50c3-ba47-8af758fee1b5","Sunday Review","Get the Epidural","Opinion",NA,"Just Get the Epidural",NA,NA,NA
"Mr. Bayley was an Oxford don and literary critic who found an international readership with his memoir “Elegy for Iris,” a moving account of his life with the novelist Iris Murdoch, his wife.","Mr. Bayley was an Oxford don and literary critic who found an international readership with his memoir “Elegy for Iris,” a moving account of his life with the novelist Iris Murdoch, his wife.","John Bayley, an Oxford don and literary critic who found an international readership with his memoir “Elegy for Iris,” a moving account of his life with the novelist Iris Murdoch, his wife, after she was struck by Alzheimer’s disease, died on Jan. 12 at his home in Lanzarote, in the Canary Islands. He was 89.","The New York Times","2015-01-22T04:13:02+0000","article","Arts","Obituary (Obit)","nyt://article/45bc8c77-2269-5034-93ff-5133f12701b1",NA,"John Bayley, Oxford Don Who Wrote of His Wife, Iris Murdoch, Dies at 89",NA,NA,"John Bayley, Oxford Don Who Wrote of His Wife, Iris Murdoch, Dies at 89",NA,NA,NA
"While divorce rates have plateaued or dropped among other age groups, the rates are rising for those 50 and older.","While divorce rates have plateaued or dropped among other age groups, the rates are rising for those 50 and older.","HILARY STEPHENS was 57 when she decided she had had enough — enough of her job, of caretaking, of her marriage of 28 years. So she did something many people fantasize about: She walked away from it all.","The New York Times","2015-10-30T16:42:50+0000","article","Your Money","News","nyt://article/c38d3cc5-bf6f-5612-9493-4380cf3b4e22",NA,"After Full Lives Together, More Older Couples Are Divorcing","Retiring",NA,"After Full Lives Together, More Older Couples Are Divorcing",NA,NA,NA
"The authors of “The American Health Care Paradox” explore why the richest country in the world doesn’t have the best health and why it takes more than health care to make a country healthy.","The authors of “The American Health Care Paradox” explore why the richest country in the world doesn’t have the best health and why it takes more than health care to make a country healthy.","The patient, lean and in his 60s, was in the hospital for the second time in a month with blood sugar levels that were out of control and he was not happy. Despite the nurses’ earnest attempts to cheer him up, he scowled and insisted that all he needed was for us to “fix it” so he could go back home. ","The New York Times","2013-11-21T19:51:02+0000","article","Health","News","nyt://article/fdca6f3b-eafe-570c-9bea-561a7a94abad",NA,"Spending More and Getting Less for Health Care","Well",NA,NA,NA,NA,NA
