"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","slideshow_credits"
"Many employees reduce their hours or stop working to help ailing family members. But it may be years before they fully return to the work force, studies indicate.","Many employees reduce their hours or stop working to help ailing family members. But it may be years before they fully return to the work force, studies indicate.","At first, Dana Guthrie thought she could help care for her parents, whose health had begun to decline, and still hold onto her job administering a busy dental practice in Plant City, Fla.","The New York Times","2022-09-04T09:00:11+0000","article","Science","News","nyt://article/5989d194-1998-5871-adda-6cf012cd003b",NA,"The Quiet Cost of Family Caregiving","The New Old Age",NA,"The Quiet Cost of Family Caregiving",NA,NA,NA,NA
"They get paid in formula and diapers, and their work hours are flexible, in a program that connects people across generations and brightens lives.","They get paid in formula and diapers, and their work hours are flexible, in a program that connects people across generations and brightens lives.","TOKYO — Cooing, giggling and the patter of tiny feet mix with the sound of walkers and wheelchairs at a nursing home in southern Japan. In this graying nation, one home has been recruiting an unusual class of workers to enliven its residents’ days.","The New York Times","2022-09-01T07:23:11+0000","article","World","News","nyt://article/d595b1d7-a0c6-5c9d-8e9b-6884c5e01d70","Asia Pacific","In a Japanese Nursing Home, Some Workers Are Babies",NA,NA,"Babies Fit the Gig in Japan’s Nursing Homes",NA,NA,NA,NA
"True reinvestment in our future must also include care.","True reinvestment in our future must also include care.","On Tuesday President Biden signed the Inflation Reduction Act, which contains parts of his Build Back Better agenda, including major climate investments and authorization for Medicare to negotiate lower prescription drug prices. The law will reduce the cost of health care, slash carbon emissions to roughly 50 percent below 2005 levels by 2030, invest in clean energy vehicles and raise taxes on corporations, among other things.","The New York Times","2022-08-17T17:55:09+0000","article","Opinion","Op-Ed","nyt://article/1cbbdb51-6c55-59f4-8b19-f24de2680168",NA,"How Long Will the U.S. Continue to Disrespect Its Caregivers?","Guest Essay",NA,"Don’t Leave Caregivers Behind",NA,NA,NA,NA
"This special explores the financial and emotional costs of taking care of elderly parents.","This special explores the financial and emotional costs of taking care of elderly parents.","The discussion of aging often doesn’t get much further than: “Your parent has Alzheimer’s, and you’re caring for her? That must be hard.” A PBS special on Thursday night (check local listings) at least tries to go deeper. Though it still spends considerable time on elder-care anecdotes — stories that are heart-rending but at this point familiar — it also acknowledges difficult questions of costs, rights and medical capabilities.","The New York Times","2015-05-06T20:52:20+0000","article","Arts","Review","nyt://article/c4e55d51-0316-56f5-a4b1-943df234f7b1","Television","Review: ‘Caring for Mom & Dad’ on PBS Looks at Elder Care Struggles",NA,NA,"A Focus on Elder Care",NA,NA,NA,NA
"The council, led by the advocacy organization Time’s Up, includes heavyweight names like JPMorgan Chase, Spotify and McDonald’s.","The council, led by the advocacy organization Time’s Up, includes heavyweight names like JPMorgan Chase, Spotify and McDonald’s.","JPMorgan Chase, Spotify, Uber, McDonald’s and almost 200 other businesses have formed a coalition focused on ensuring that women are not held back in the labor force because they bear the brunt of caregiving in the United States.","The New York Times","2021-05-19T11:34:05+0000","article","Business Day","News","nyt://article/0b511df6-3bea-59e0-8c5b-ac9874981e38",NA,"A new coalition of 200 businesses will push fixes to the problems of child and elder care.",NA,NA,NA,NA,NA,NA,NA
"Zvi Feiner and a business partner were indicted on fraud charges. Federal prosecutors say they bilked investors out of millions of dollars.","Zvi Feiner and a business partner were indicted on fraud charges. Federal prosecutors say they bilked investors out of millions of dollars.","A Chicago-area rabbi, who formerly owned a nursing home chain at the heart of the biggest default in the history of a federal mortgage-guarantee program, has been indicted by federal authorities on charges he bilked millions of dollars from investors.","The New York Times","2020-09-15T17:26:24+0000","article","Business Day","News","nyt://article/d3718987-9db4-5f21-a2b3-9603e20ae2df",NA,"Ex-Owner in $146 Million Elder Care Default Is Charged in Ponzi Case",NA,NA,NA,NA,NA,NA,NA
"The focus on child care may conceal a bigger barrier to female participation in the labor force: tending to the growing ranks of aging family members.","The focus on child care may conceal a bigger barrier to female participation in the labor force: tending to the growing ranks of aging family members.","Why did women’s rush into the work force stop? Policymakers have been vexed by the question for years. Social scientists have discussed the sudden stop for over a decade, in conferences and academic papers. Almost 12 years ago, I gave the topic a shot in the pages of The Times: why, after a five-decade rise, did the labor-force participation of women in the prime working years stall around the turn of the century?","The New York Times","2017-12-19T12:00:26+0000","article","Business Day","News","nyt://article/dc7e2dda-450e-54cf-b564-f086323ef8ab","Economy","How Care for Elders, Not Children, Denies Women a Paycheck","Economic Scene",NA,"The Weight Of Elder Care On Women",NA,NA,NA,NA
"Older adults are particularly vulnerable to the dangers of extreme heat. A majority of heat-related deaths in the United States occur among people who are older than 65, according to the Centers for Disease Control and Prevention, so those individuals need to be especially vigilant amid rising temperatures.","","Older adults are particularly vulnerable to the dangers of extreme heat. A majority of heat-related deaths in the United States occur among people who are older than 65, according to the Centers for Disease Control and Prevention, so those individuals need to be especially vigilant amid rising temperatures.","The New York Times","2022-07-23T13:12:40+0000","article","Well","News","nyt://article/a5b7b809-9150-57e4-932a-79cae73c4024",NA,"How can older adults stay safe during a heat wave?",NA,NA,NA,NA,NA,NA,NA
"Both snarled traffic and a morning without a home health aide can make you late for work.","Both snarled traffic and a morning without a home health aide can make you late for work.","Ask any of the parents who have spent the last year at home with their children, while trying to participate in Zoom meetings, whether child care enables them to show up to work and perform at their best. The direct conflict between children’s need to be cared for during the day and working parents’ need to devote their attention to their jobs exploded into full view during the pandemic, not just for families but for their employers and co-workers. Suddenly it was everyone’s problem.","The New York Times","2021-04-26T09:00:10+0000","article","Opinion","Op-Ed","nyt://article/fe4b1778-2c87-5914-ab74-cdc201373658",NA,"The Debate Over What ‘Infrastructure’ Is Is Ridiculous","Guest Essay",NA,"Child and Elder Care Are Also Infrastructure",NA,NA,NA,NA
"Readers told our columnist what they had read and found useful, and he reports back on family conversations, division of labor, Medicaid and more.","Readers told our columnist what they had read and found useful, and he reports back on family conversations, division of labor, Medicaid and more.","Longevity is generally better than its alternative. But when the body or especially the mind wears out, caring for yourself or finding someone else to do it for you can impoverish you in short order.","The New York Times","2017-08-18T16:58:14+0000","article","Your Money","News","nyt://article/85e00ccd-35c6-515d-b818-459f59b0512b",NA,"Hard-Won Advice in Books on Aging and Elder Care","Your Money",NA,"Facing Dread  Of ‘Inching  Toward  Oblivion’",NA,NA,NA,NA
"Shifting demographics are reshaping complexes built for older Americans, who are looking for a variety of rates and services.","Shifting demographics are reshaping complexes built for older Americans, who are looking for a variety of rates and services.","The pandemic crushed the senior housing market, cutting occupancy rates and stalling construction. Now, as the market begins an uneven rebound, developers are adapting to the coming wave of aging baby boomers with a new crop of living developments.","The New York Times","2022-07-19T13:00:14+0000","article","Business Day","News","nyt://article/57df6d52-3d45-5f7a-9269-8b186ce63dbe",NA,"What Baby Boomers Want (Options!), Senior Housing Delivers","Square Feet",NA,"Expanding Options for Senior Housing",NA,NA,NA,NA
"Some with private equity owners, focused on making money, were particularly ill equipped and understaffed to handle Covid-19.","Some with private equity owners, focused on making money, were particularly ill equipped and understaffed to handle Covid-19.","When the pandemic struck, the majority of the nation’s nursing homes were losing money, some were falling into disrepair, and others were struggling to attract new occupants, leaving many of them ill equipped to protect workers and residents as the coronavirus raged through their properties.","The New York Times","2020-05-07T17:06:11+0000","article","Business Day","News","nyt://article/d113172f-5443-595f-ad5f-85fb0216df01",NA,"Push for Profits Left Nursing Homes Struggling to Provide Care",NA,NA,"Profit Push Takes a Toll In Elder Care",NA,NA,NA,NA
"Readers discuss how to ensure safe medical care. Also: Older adults, youthful music; an L.G.B.T.Q. model for elder care.","Readers discuss how to ensure safe medical care. Also: Older adults, youthful music; an L.G.B.T.Q. model for elder care.","To the Editor:","The New York Times","2022-12-08T18:00:08+0000","article","Opinion","Letter","nyt://article/4bbbdd93-5162-5e97-81ff-a19534666fd9","Letters","Assessing the Competence of Older Doctors","letters",NA,"Assessing the Competence of Older Doctors",NA,NA,NA,NA
"The proposal to spend $400 billion over eight years faces political challenges and a funding system not designed for the burden it has come to bear.","The proposal to spend $400 billion over eight years faces political challenges and a funding system not designed for the burden it has come to bear.","President Biden’s $400 billion proposal to improve long-term care for older adults and those with disabilities was received as either a long overdue expansion of the social safety net or an example of misguided government overreach.","The New York Times","2021-04-15T15:24:59+0000","article","Business Day","News","nyt://article/cdf8082a-3986-5cbd-a62c-a351031611a1","Economy","Biden Takes On Sagging Safety Net With Plan to Fix Long-Term Care",NA,NA,"Tug of War To Shore Up Elder Care",NA,NA,NA,NA
"Ms. Holt led the federal government’s effort to establish and standardize modern long-term care facilities for the elderly in the pre-Medicare era.","Ms. Holt led the federal government’s effort to establish and standardize modern long-term care facilities for the elderly in the pre-Medicare era.","Helen F. Holt, who led the federal government’s effort to establish and standardize modern long-term care facilities for the elderly in the pre-Medicare era, died on July 12 at her home in Boca Raton, Fla. She was 101.","The New York Times","2015-07-18T02:44:23+0000","article","New York","Obituary (Obit)","nyt://article/c5c62d33-2789-5e16-bfb5-0bee42d3c9ac",NA,"Helen F. Holt, Who Elevated Elder Care Across the U.S., Dies at 101",NA,NA,"Helen F. Holt, 101, a Leader in Elevating End-of-Life Care",NA,NA,NA,NA
"A lack of child care and elder care options has forced some women to limit their hours or sidelined them altogether, hurting their career prospects.","A lack of child care and elder care options has forced some women to limit their hours or sidelined them altogether, hurting their career prospects.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.","The New York Times","2022-07-07T15:40:54+0000","article","Business Day","News","nyt://article/dfc94176-4374-5dca-9103-8bb8f2d236db","Economy","Jobs Aplenty, but a Shortage of Care Keeps Many Women From Benefiting",NA,NA,"With Employers Eager to Hire, Many Women Are Missing Out",NA,NA,NA,NA
"The magazine’s Ethicist columnist on whether we have the right to tell the story of someone else’s tragedy.","The magazine’s Ethicist columnist on whether we have the right to tell the story of someone else’s tragedy.","Recently, I rented a private office in a co-working space so I could work on personal writing projects. About two weeks into my tenure, I heard screams. When I went to investigate, I saw a man beating someone savagely with a metal pipe. I ran to my office, called 911 and then returned, only to see the man walking in my direction. I ran back to my office and hid until the police arrived. The victim — she was the office manager — was rushed to the hospital, where she was declared dead. The story that emerged is that the man, a fellow client who had been living in his office, was being evicted by the office manager.","The New York Times","2022-05-24T09:00:08+0000","article","Magazine","News","nyt://article/0f3f9a62-fc9d-5e02-911b-1b8ca33843b3",NA,"I Witnessed a Murder. Is It Wrong to Write About It?","The Ethicist",NA,"I Witnessed a Murder. Is It Wrong to Write About Someone Else’s Tragedy?",NA,NA,NA,NA
"A reader writes that the problem is worsening, and no one is paying attention.","A reader writes that the problem is worsening, and no one is paying attention.","To the Editor:","The New York Times","2018-02-08T18:59:25+0000","article","Opinion","Letter","nyt://article/7d0f6852-8842-583a-af0c-8e6c8da0ac20",NA,"The Problem of Elder Care","Letter",NA,"The Problem of Elder Care",NA,NA,NA,NA
"Choosing living arrangements for an older person can take a lawyer, financial planner and physician — and perhaps a specialist to guide the process.","Choosing living arrangements for an older person can take a lawyer, financial planner and physician — and perhaps a specialist to guide the process.","AFTER her husband’s death in 2007, Mary Jane Renninger, a retired nurse, began having occasional dizzy spells and even passed out on one occasion as she was painting her patio. She was not found until 12 hours later.","The New York Times","2015-07-10T15:13:20+0000","article","Your Money","News","nyt://article/8261fdd7-acfc-5f2c-89e7-5717084a8c88",NA,"Making Decisions on Elder Housing May Take a Team Effort","Retiring",NA,"Team Efforts in Making Decisions on Elder Housing",NA,NA,NA,NA
"The goal was cost savings, but the state’s sweeping changes in Medicaid spending on long-term services set off a stampede in recent years by managed care companies for low-risk, high-profit enrollees.","The goal was cost savings, but the state’s sweeping changes in Medicaid spending on long-term services set off a stampede in recent years by managed care companies for low-risk, high-profit enrollees.","The goal was cost savings, but the state’s sweeping changes in Medicaid spending on long-term services set off a stampede in recent years by managed care companies for low-risk, high-profit enrollees.","The New York Times","2014-05-09T03:04:00+0000","multimedia","New York","Interactive Feature","nyt://interactive/e272ceeb-feec-5aa6-9820-ed8a676ea7d3",NA,"Documents on Long-Term Care",NA,NA,NA,NA,NA,NA,NA
"This week, Hawaii launched the Kupuna Caregivers Program to help support working family caregivers.","This week, Hawaii launched the Kupuna Caregivers Program to help support working family caregivers.","This week, Hawaii launched the Kupuna Caregivers Program to help support working family caregivers.","The New York Times","2017-12-15T10:00:03+0000","multimedia","Well","Video","nyt://video/c266902b-ba7c-50fe-92f2-da2d4936eb4e",NA,"Hawaii Launches Long-Term Care Program",NA,NA,NA,NA,NA,NA,NA
"The candidate is talking about child care and elder care in the same breath, and making them part of his economic package. Both changes are long overdue.","The candidate is talking about child care and elder care in the same breath, and making them part of his economic package. Both changes are long overdue.","Joe Biden’s recent policy proposal to address the country’s crisis of care didn’t garner major headlines. There were no haphazardly capitalized Trump tweets in response, nor congressional Republicans denouncing it as socialism. But make no mistake: His plan is quietly radical in both its comprehensiveness and its framing.","The New York Times","2020-08-02T22:25:19+0000","article","Opinion","Op-Ed","nyt://article/b5e086d3-6cf9-5799-a04f-3dfc2870c638",NA,"Biden’s Quietly Radical Care Plan",NA,NA,"Biden’s  Radical  Care Plan",NA,NA,NA,NA
"Researchers are struggling to understand what causes “self-neglect” — and how to fix it.","Researchers are struggling to understand what causes “self-neglect” — and how to fix it.","The man was living alone with his two dogs, in a remote area outside San Antonio, when someone called the Texas state hotline to report that a supposed friend was financially exploiting him. So the state adult protective services agency sent a caseworker to the man’s home.","The New York Times","2018-03-02T19:59:04+0000","article","Health","News","nyt://article/89116ab3-712f-55fd-a6e4-ac55ad55f427",NA,"Elder Abuse: Sometimes It’s Self-Inflicted"," The New Old Age",NA,"When Elder Abuse Is Self-Inflicted",NA,NA,NA,NA
"Some consumers see long-term care insurance as a way to help them stay out of a nursing home and in their own homes longer.","Some consumers see long-term care insurance as a way to help them stay out of a nursing home and in their own homes longer.","Long-term care insurance, which can help cover the cost of extended care if you’re unable to care for yourself, is something no one really wants to think about. It’s a product you buy, after all, in the hope that you will never have to use it. ","The New York Times","2013-03-26T17:46:38+0000","article","Your Money","News","nyt://article/cc7fd041-7244-57b8-9e8f-2399ce7a8b64",NA,"Buyers of Long-Term Care Insurance Prefer Home Care","Bucks",NA,NA,NA,NA,NA,NA
"The Program of All-Inclusive Care for the Elderly, funded by Medicare and Medicaid, has quietly succeeded in enabling some older Americans to age in place.","The Program of All-Inclusive Care for the Elderly, funded by Medicare and Medicaid, has quietly succeeded in enabling some older Americans to age in place.","Felicia Biteranta was struggling when, five years ago, she enrolled in a PACE program operated by Lutheran Senior Life in Jersey City, N.J.","The New York Times","2022-03-12T17:06:36+0000","article","Health","News","nyt://article/2f3af1ea-f3b1-57f1-a0cb-ffc3e48b85f0",NA,"Meet the Underdog of Senior Care","The New Old Age",NA,"Meet the Underdog of Senior Care",NA,NA,NA,NA
"The shutdown of community centers means enforced solitude and a loss of structure.","The shutdown of community centers means enforced solitude and a loss of structure.","At the Stanley M. Isaacs Neighborhood Center on Manhattan’s Upper East Side on Monday morning, a trickle of older New Yorkers, some pushing walkers or riding in mobility scooters, arrived to bad news. All group activities were canceled. Lunch was strictly to go.","The New York Times","2020-03-18T09:00:32+0000","article","New York","News","nyt://article/5e51212a-8d62-504f-ba1a-a0c2127a7388",NA,"‘I’m Really Isolated Now’: When Elders Have to Fight Coronavirus Alone",NA,NA,"Elders Face the Pandemic Alone",NA,NA,NA,NA
"The new HBO comedy “Getting On,” starring Laurie Metcalf, aims to depict a true, if irreverent, look at elder care in a California hospital.","The new HBO comedy “Getting On,” starring Laurie Metcalf, aims to depict a true, if irreverent, look at elder care in a California hospital.","The rules for depicting the frail elderly on television are fairly clear: it must be done with a gauzy somberness. Dementia and nursing homes and such are something to be whispered about and handled with kid gloves rather than considered a fact of life. ","The New York Times","2013-11-22T21:59:44+0000","article","Arts","Review","nyt://article/da4fd27c-5b4b-5c0c-9805-41fe78789ff0","Television","Caring for the Aging, but Ignoring the Rules","Television Review",NA,"Caring for the Aging, But Ignoring the Rules",NA,NA,NA,NA
"The state will require that home care agencies conduct background checks on workers and provide training.","The state will require that home care agencies conduct background checks on workers and provide training.","California has become the latest state to tighten oversight of home health agencies that provide custodial care — help with bathing, dressing, toileting and other basic tasks — to older adults and people with disabilities.","The New York Times","2013-10-14T20:33:05+0000","article","Health","News","nyt://article/72385f5c-cec2-5f8b-857d-897ee965b5be",NA,"California Imposes New Home Care Regulations","The New Old Age",NA,NA,NA,NA,NA,NA
"Some 41 countries across the globe guarantee their workers paid family leave to tend to children or elders. The United States doesn’t. That may be changing.","Some 41 countries across the globe guarantee their workers paid family leave to tend to children or elders. The United States doesn’t. That may be changing.","First of three articles.","The New York Times","2019-09-04T16:06:19+0000","article","Opinion","Op-Ed","nyt://article/c1095518-7069-5cea-8253-e912fec61310",NA,"Does America Care About Care? Not Enough","Fixes",NA,NA,NA,NA,NA,NA
"Some older adults are rejecting nursing homes in favor of small residences that provide personal care and allow for a level of independence in homelike setting.","Some older adults are rejecting nursing homes in favor of small residences that provide personal care and allow for a level of independence in homelike setting.","KAY LARMOR, 71, was in and out of conventional nursing homes. Then she found Green House homes at Porter Hills, in Grand Rapids, Mich., which is helping to remake long-term care.","The New York Times","2015-11-20T15:31:44+0000","article","Your Money","News","nyt://article/22a6bafa-4f25-5e22-b2f0-5bb938073957",NA,"Small Residences for the Elderly Provide More Personal, Homelike Care","Retiring",NA,"Putting the &#8216;Home&#8217; Back in Nursing Home ",NA,NA,NA,NA
"A career filled with tough cases transforms a lawyer into a champion for the elderly, just like her mother.","A career filled with tough cases transforms a lawyer into a champion for the elderly, just like her mother.","In the midst of my raging adolescence in 1979, my mother was devoting most of her time to a Jewish nursing home in Baltimore where she was the board president.","The New York Times","2015-11-07T18:51:16+0000","article","Job Market","News","nyt://article/5e53631f-a16d-5174-871e-05869f51cff3",NA,"Coming Full Circle to Help Her Elders","On Work",NA,"Coming Full Circle to Help Her Elders",NA,NA,NA,NA
"All too often, such care for Americans is shoddy or contrary to a patient’s wishes.","All too often, such care for Americans is shoddy or contrary to a patient’s wishes.","Americans are justifiably worried about obtaining the best possible care — and the care they really want — as they or family members near the end of life. All too often, the care is shoddy or contrary to a patient’s wishes.","The New York Times","2014-10-04T01:32:05+0000","article","Opinion","Editorial","nyt://article/51f7a5f1-9891-5e72-916d-86f7fc42f60e",NA,"Care at the End of Life","Editorial",NA,"Care at the End of Life",NA,NA,NA,NA
"Former President George H.W. Bush, 90, experienced shortness of breath and would be held overnight as a precaution, a spokesman said.","Former President George H.W. Bush, 90, experienced shortness of breath and would be held overnight as a precaution, a spokesman said.","WASHINGTON — The elder President George Bush was taken to a Houston hospital Tuesday night after experiencing shortness of breath, a family spokesman said.","The New York Times","2014-12-24T05:44:43+0000","article","U.S.","News","nyt://article/9877eeea-3225-545e-8122-882af846d886",NA,"Elder Former President Bush Is Hospitalized",NA,NA,NA,NA,NA,NA,NA
"HBO begins a series about a dysfunctional geriatric rehab center.","HBO begins a series about a dysfunctional geriatric rehab center.","I’m sure the creators of “Getting On,” the HBO series that premieres Sunday night, see it as a blisteringly dark comedy about a dysfunctional geriatric rehab center, with characters and plot devices exaggerated for the sake of laughs.","The New York Times","2013-11-22T10:00:24+0000","article","Health","News","nyt://article/33b4d41a-a495-50b1-8e59-17b4fce39e3b",NA,"Institutional Care: Cue the Laugh Track","The New Old Age",NA,NA,NA,NA,NA,NA
"The pandemic has given a new urgency to the development of robots and ‘virtual assisted living’ that can help care for aging adults, physically and emotionally.","The pandemic has given a new urgency to the development of robots and ‘virtual assisted living’ that can help care for aging adults, physically and emotionally.","Arshia Khan asked a group of older adults in Minnesota what they would like in a nursing home, and their answer surprised her. They wanted standup comedy, but not just any comedy: They wanted off-color jokes.","The New York Times","2022-04-21T09:01:01+0000","article","Real Estate","News","nyt://article/610e8731-3c00-5733-ab54-b61e858b9719",NA,"Can Robots Save Nursing Homes?",NA,NA,"Sci-Fi Care: Can Robots Save Nursing Homes?",NA,NA,NA,NA
"Former President George H. W. Bush was released from a Houston hospital where he has been staying since last week after experiencing shortness of breath.","Former President George H. W. Bush was released from a Houston hospital where he has been staying since last week after experiencing shortness of breath.","Former President George Bush has been released from a Houston hospital where he had been staying since last week after experiencing shortness of breath.","The New York Times","2014-12-30T18:18:36+0000","article","U.S.","News","nyt://article/7a22e761-bd18-552a-8d43-1331d0549f07","Politics","Elder George Bush Is Released From Hospital","First Draft",NA,NA,NA,NA,NA,NA
"Jaromir Jagr said he had fond memories of his three seasons with the Rangers, the team he will face in the second round of the playoffs starting Thursday.","Jaromir Jagr said he had fond memories of his three seasons with the Rangers, the team he will face in the second round of the playoffs starting Thursday.","BOSTON — There are flecks of gray in Jaromir Jagr’s playoff beard. He turned 41 three months ago, and he is the only player in the Eastern Conference semifinal series between the Boston Bruins and the Rangers who was alive in 1973, when the two franchises last met in the Stanley Cup playoffs.","The New York Times","2013-05-16T00:37:28+0000","article","Sports","News","nyt://article/1c2e79a5-d4d6-52a6-a44a-286135b37632","Hockey","At 41, Jagr Is Bruins’ Elder Statesman",NA,NA,"At 41, Bruins’ Elder Statesman",NA,NA,NA,NA
